new_id,old_id
GB-CASC-64089edc,GB-CASC-0ec91368
GB-CASC-e9c4b13f,GB-CASC-6921e0bc
GB-CASC-2eb0639c,GB-CASC-2eb0639c
GB-CASC-0766fdf3,GB-CASC-8c2f832f
GB-CASC-08a55cb6,GB-CASC-0b3e3b6c
GB-CASC-c18f155c,GB-CASC-36758272
GB-CASC-c53a2f13,GB-CASC-c53a2f13
GB-CASC-62aab64c,GB-CASC-62aab64c
GB-CASC-c7947204,GB-CASC-c19a9b98
GB-CASC-9ae17d99,GB-CASC-9ae17d99
GB-CASC-7092c780,GB-CASC-bcf9e5db
GB-CASC-8c1a90ba,GB-CASC-01e429d8
GB-CASC-765d7259,GB-CASC-ef44176e
GB-CASC-38d1da38,GB-CASC-f3ca4da5
GB-CASC-be49525a,GB-CASC-be49525a
GB-CASC-473d0655,GB-CASC-473d0655
GB-CASC-8133556f,GB-CASC-ecc5f10c
GB-CASC-ad9ba66a,GB-CASC-0bf405cc
GB-CASC-7c4d0d8b,GB-CASC-7c4d0d8b
GB-CASC-415f2340,GB-CASC-c6f3be1a
GB-CASC-6e9822b4,GB-CASC-6e9822b4
GB-CASC-9faa21dc,GB-CASC-9faa21dc
GB-CASC-9e2609ca,GB-CASC-ebd4650e
GB-CASC-36bb9025,GB-CASC-36bb9025
GB-CASC-a370fbb8,GB-CASC-39f63934
GB-CASC-d389e8fa,GB-CASC-4635dab3
GB-CASC-4c32cb71,GB-CASC-a2b105b1
GB-CASC-e179664e,GB-CASC-e179664e
GB-CASC-f580d8ad,GB-CASC-f580d8ad
GB-CASC-67dce57e,GB-CASC-2c086551
GB-CASC-14bc459f,GB-CASC-fe3c5089
GB-CASC-8194b64a,GB-CASC-8194b64a
GB-CASC-14a95257,GB-CASC-b5d1af72
GB-CASC-73f4d202,GB-CASC-9bf30f89
GB-CASC-24045ae0,GB-CASC-24045ae0
GB-CASC-71f608a5,GB-CASC-71f608a5
GB-CASC-6b5075fd,GB-CASC-0723a297
GB-CASC-dd95186a,GB-CASC-dd95186a
GB-CASC-1653f66b,GB-CASC-08f4f9b8
GB-CASC-f826acef,GB-CASC-38c3d4e8
GB-CASC-41cc4252,GB-CASC-5b3cb466
GB-CASC-247dc206,GB-CASC-247dc206
GB-CASC-827916ec,GB-CASC-fc65356d
GB-CASC-36763e17,GB-CASC-60adf4d2
GB-CASC-56eaedac,GB-CASC-56eaedac
GB-CASC-728570a4,GB-CASC-728570a4
GB-CASC-0e833fa1,GB-CASC-a26d92f0
GB-CASC-df3ee8fc,GB-CASC-df3ee8fc
GB-CASC-8d0a7112,GB-CASC-4036db9c
GB-CASC-af6e14fd,GB-CASC-9865324a
GB-CASC-cb77acdc,GB-CASC-4c8de851
GB-CASC-90d0d002,GB-CASC-78e7ebe2
GB-CASC-f94323c8,GB-CASC-c36b6026
GB-CASC-3d67438b,GB-CASC-a4f0ee4b
GB-CASC-616ea13e,GB-CASC-616ea13e
GB-CASC-a05e96ab,GB-CASC-e5477c1e
GB-CASC-84e9d262,GB-CASC-84e9d262
GB-CASC-aee89ce9,GB-CASC-2d8f2d40
GB-CASC-14646dbe,GB-CASC-745c5d8c
GB-CASC-5753acda,GB-CASC-c9b25de5
GB-CASC-37b21896,GB-CASC-45dd0d54
GB-CASC-791ba0db,GB-CASC-791ba0db
GB-CASC-0e84a2a8,GB-CASC-1e987495
GB-CASC-93c4d951,GB-CASC-8d9ca398
GB-CASC-7c9a1bfe,GB-CASC-7c9a1bfe
GB-CASC-c8ed47cf,GB-CASC-6f80b9ec
GB-CASC-f9bd77ad,GB-CASC-f9bd77ad
GB-CASC-a01fd343,GB-CASC-0f324e79
GB-CASC-c7913393,GB-CASC-c7913393
GB-CASC-6ebf65e0,GB-CASC-5737e7e1
GB-CASC-070ce573,GB-CASC-57ff7499
GB-CASC-3ae81f40,GB-CASC-3ae81f40
GB-CASC-887fb7d1,GB-CASC-a75530b3
GB-CASC-6bcc31d9,GB-CASC-6bcc31d9
GB-CASC-412e9211,GB-CASC-059be127
GB-CASC-4549870e,GB-CASC-d0505be9
GB-CASC-9daea688,GB-CASC-82718c41
GB-CASC-aae3f9d2,GB-CASC-11c01c02
GB-CASC-75255f2a,GB-CASC-75255f2a
GB-CASC-f4ae25df,GB-CASC-2af1b879
GB-CASC-84269e6b,GB-CASC-27f23d62
GB-CASC-eee845f2,GB-CASC-546db4f4
GB-CASC-bae0394c,GB-CASC-58134f58
GB-CASC-081fd318,GB-CASC-edfe3675
GB-CASC-0abb0ff1,GB-CASC-69e1f763
GB-CASC-f63481a6,GB-CASC-d24fe984
