casc_orgid,casc_name,casc_postcode,ch_orgid,ch_number,ch_name,ch_postcode,ch_type
GB-CASC-4e77cfc1,Bradford Salem Rugby Football Club Ltd,BD13 1FB,GB-COH-IP030976,IP030976,BRADFORD SALEM RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-334edb4d,Braintree Golf Club Ltd,CM7 5EQ,GB-COH-00960485,00960485,BRAINTREE GOLF CLUB LIMITED,CM77 8DD,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-865da56e,Braintree Hockey Club Ltd,CO6 1BT,GB-COH-08034805,08034805,BRAINTREE HOCKEY CLUB LTD,CM7 5LJ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-2cf30afc,Bramcote Swimming Club Ltd,NG9 4HY,GB-COH-09600778,09600778,BRAMCOTE SWIMMING CLUB LIMITED,NG9 1AE,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-25f5d877,Brecon Bowling Club Ltd,LD3 9BR,GB-COH-10429922,10429922,BRECON BOWLING CLUB LIMITED,LD3 9BA,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-94e9a349,Brecon Rugby Football Club Ltd,LD3 7BN,GB-COH-09601443,09601443,BRECON RUGBY FOOTBALL CLUB LIMITED,LD3 7EL,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-bb27eb52,Bredon Star Rugby Football Club Ltd,GL20 7EQ,GB-COH-IP031539,IP031539,BREDON STAR RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-637b6965,Brentham Club Ltd,W5 1NP,GB-COH-IP06326R,IP06326R,BRENTHAM CLUB LIMITED,,Industrial and Provident Society
GB-CASC-4c9c104e,Brentwood Rugby Football Club Ltd,CM13 2QR,GB-COH-IP28725R,IP28725R,BRENTWOOD RUGBY FOOTBALL CLUB LIMITED,CM13 2AQ,Industrial and Provident Society
GB-CASC-4cbc8e14,Brentwood Tennis Club Ltd,S11 7PS,GB-COH-07964065,07964065,BRENTWOOD TENNIS CLUB LIMITED,S11 9BU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-a387028c,Bridging Gloves,HP12 3NT,GB-COH-09393807,09393807,BRIDGING GLOVES,HP12 3NT,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-ee447646,Bridgwater Lawn Tennis Club Ltd,TA6 7PX,GB-COH-08601200,08601200,BRIDGWATER LAWN TENNIS CLUB LIMITED,TA6 3AL,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-af15f5cc,Bridport Barracudas Swimming Club Ltd,DT8 3PW,GB-COH-07073928,07073928,BRIDPORT BARRACUDAS SWIMMING CLUB LIMITED,DT2 9EN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-be1071dd,Bridport GIG Club Ltd,DT6 3FR,GB-COH-09244141,09244141,BRIDPORT GIG CLUB LTD,DT6 6AL,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-f7a61a44,Bridport Rugby Football Club Ltd,DT6 3DH,GB-COH-IP030626,IP030626,BRIDPORT RUGBY FOOTBALL CLUB LIMITED,,Industrial and Provident Society
GB-CASC-128a5008,Bristol Saracens Rugby Football Club Ltd,BS10 7TT,GB-COH-08310137,08310137,BRISTOL SARACENS RUGBY FOOTBALL CLUB LIMITED,BS10 7TT,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-abf63f12,Brixworth Cricket Club Ltd,NN6 9LW,GB-COH-06498941,06498941,BRIXWORTH CRICKET CLUB LIMITED,NN6 9LW,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-53fabf42,Broadstone Football Club,BH18 9EB,GB-COH-CE008287,CE008287,BROADSTONE FOOTBALL CLUB,,Charitable Incorporated Organisation
GB-CASC-00caa727,Broadwater Sports Club Ltd,GU7 3DH,GB-COH-07506829,07506829,BROADWATER SPORTS CLUB LIMITED,GU7 3DH,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-593850bb,Brocton Football Club Ltd,ST17 0TE,GB-COH-05583394,05583394,BROCTON FOOTBALL CLUB LIMITED,ST15 8YH,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-05e8c9ca,Bromley Indoor Bowls Centre Ltd,BR5 4LX,GB-COH-03263638,03263638,BROMLEY INDOOR BOWLS CENTRE LIMITED,BR5 4LX,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-e7815c87,Bromyard Town Football Club Limited,HR7 4EL,GB-COH-03574031,03574031,BROMYARD TOWN FOOTBALL CLUB LIMITED,HR7 4NT,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-96bcfd9c,Buckminster Gliding Club Ltd,NG33 5HL,GB-COH-01181241,01181241,BUCKMINSTER GLIDING CLUB LIMITED,NG33 5FE,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-81cc7c20,Budleigh Salterton Cricket Club Ltd,EX9 6JD,GB-COH-07481069,07481069,BUDLEIGH SALTERTON CRICKET CLUB LIMITED,TQ9 5RP,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-5dc88897,Budleigh Salterton Croquet Club Ltd,EX10 9TU,GB-COH-05819791,05819791,BUDLEIGH SALTERTON CROQUET CLUB LIMITED,EX9 6ST,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-731dcd69,Burley RUFC Ltd,LS5 3NG,GB-COH-09970101,09970101,BURLEY RUFC LTD,LS5 3NG,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-7a98805d,Burnham-on-Crouch Golf Club Limited,CM0 8PQ,GB-COH-00878804,00878804,BURNHAM-ON-CROUCH GOLF CLUB LIMITED,CM0 8PQ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-9f4f732c,Burton Canoe Club Ltd,DE15 9LD,GB-COH-10684546,10684546,BURTON CANOE CLUB LIMITED,DE15 0TU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
